Hotspot_Name,Bird_Name
Taughannock Falls SP--Loon Watch,Caspian Tern
Taughannock Falls SP--Loon Watch,Turkey Vulture
Taughannock Falls SP--Loon Watch,Northern Flicker
Taughannock Falls SP--Loon Watch,Least Flycatcher
Taughannock Falls SP--Loon Watch,Blue Jay
Taughannock Falls SP--Loon Watch,Purple Martin
Taughannock Falls SP--Loon Watch,Blue-gray Gnatcatcher
Taughannock Falls SP--Loon Watch,Chipping Sparrow
Taughannock Falls SP--Loon Watch,Brown-headed Cowbird
Taughannock Falls SP--Loon Watch,American Redstart
Taughannock Falls SP--Loon Watch,Yellow Warbler
Taughannock Falls SP--Loon Watch,Red-breasted Merganser
Taughannock Falls SP--Loon Watch,Common Tern
Taughannock Falls SP--Loon Watch,Great Blue Heron
Taughannock Falls SP--Loon Watch,Downy Woodpecker
Taughannock Falls SP--Loon Watch,Warbling Vireo
Taughannock Falls SP--Loon Watch,Tufted Titmouse
Taughannock Falls SP--Loon Watch,Bank Swallow
Taughannock Falls SP--Loon Watch,Gadwall
Taughannock Falls SP--Loon Watch,Greater Scaup
Taughannock Falls SP--Loon Watch,Pied-billed Grebe
Taughannock Falls SP--Loon Watch,Green-winged Teal
Taughannock Falls SP--Loon Watch,Brown Creeper
Taughannock Falls SP--Loon Watch,Yellow-throated Vireo
Taughannock Falls SP--Loon Watch,Red-eyed Vireo
Taughannock Falls SP--Loon Watch,Northern Rough-winged Swallow
Taughannock Falls SP--Loon Watch,swallow sp.
Taughannock Falls SP--Loon Watch,Eastern Phoebe
Taughannock Falls SP--Loon Watch,Eastern Kingbird
Taughannock Falls SP--Loon Watch,House Sparrow
Taughannock Falls SP--Loon Watch,Field Sparrow
Taughannock Falls SP--Loon Watch,Tennessee Warbler
Taughannock Falls SP--Loon Watch,Cape May Warbler
Taughannock Falls SP--Loon Watch,Palm Warbler
Taughannock Falls SP--Loon Watch,White-winged Scoter
Taughannock Falls SP--Loon Watch,Dunlin
Taughannock Falls SP--Loon Watch,Cliff Swallow
Taughannock Falls SP--Loon Watch,Spotted Sandpiper
Taughannock Falls SP--Loon Watch,Wood Duck
Taughannock Falls SP--Loon Watch,Brown Booby
Taughannock Falls SP--Loon Watch,Snow Goose
Taughannock Falls SP--Loon Watch,Ring-necked Duck
Taughannock Falls SP--Loon Watch,Hooded Merganser
Taughannock Falls SP--Loon Watch,Horned Grebe
Taughannock Falls SP--Loon Watch,Red-necked Grebe
Taughannock Falls SP--Loon Watch,Red-throated Loon
Taughannock Falls SP--Loon Watch,Common Raven
Taughannock Falls SP--Loon Watch,Canvasback
Taughannock Falls SP--Loon Watch,American Pipit
Taughannock Falls SP--Loon Watch,Northern Harrier
Taughannock Falls SP--Loon Watch,Golden Eagle
Taughannock Falls SP--Loon Watch,American Wigeon
Taughannock Falls SP--Loon Watch,Snow Bunting
Taughannock Falls SP--Loon Watch,Northern Pintail
Taughannock Falls SP--Loon Watch,Golden-crowned Kinglet
Taughannock Falls SP--Loon Watch,Pileated Woodpecker
Taughannock Falls SP--Loon Watch,Common Redpoll
Taughannock Falls SP--Loon Watch,Tundra Swan
Taughannock Falls SP--Loon Watch,Cooper's Hawk
Taughannock Falls SP--Loon Watch,Surf Scoter
Taughannock Falls SP--Loon Watch,American Coot
Taughannock Falls SP--Loon Watch,American Tree Sparrow
Taughannock Falls SP--Loon Watch,finch sp.
Taughannock Falls SP--Loon Watch,White-winged Crossbill
Taughannock Falls SP--Loon Watch,Pine Siskin
Taughannock Falls SP--Loon Watch,Red Crossbill
Taughannock Falls SP--Loon Watch,blackbird sp.
Taughannock Falls SP--Loon Watch,Brant
Taughannock Falls SP--Loon Watch,Blue-winged Teal
Taughannock Falls SP--Loon Watch,dabbling duck sp.
Taughannock Falls SP--Loon Watch,Lesser Black-backed Gull
Taughannock Falls SP--Loon Watch,Mallard x American Black Duck (hybrid)
Taughannock Falls SP--Loon Watch,Black Scoter
Taughannock Falls SP--Loon Watch,Sharp-shinned Hawk
Taughannock Falls SP,Canada Goose
Taughannock Falls SP,Bald Eagle
